source,target,type,reason
docker-compose.test.yml,K6_OUT=json=/results/load-test.json,references,nicht gefunden
Dockerfile.api,rocker/r-ver:4.3.1,inherits_from,nicht gefunden
Dockerfile.app,rocker/shiny:4.3.1,inherits_from,nicht gefunden
Dockerfile.test,rocker/verse:4.3.2,inherits_from,nicht gefunden
Dockerfile.test,data,copies,nicht gefunden
Dockerfile.test,inst,copies,nicht gefunden
Dockerfile.test,man,copies,nicht gefunden
Dockerfile.test,NAMESPACE,copies,nicht gefunden
api/plumber.R,api/api/plumber_phase5.R,sources,Datei existiert in anderem Ordner: api\plumber_phase5.R
api/plumber.R,api/api/plumber_auth.R,sources,Datei existiert in anderem Ordner: api\plumber_auth.R
api/plumber_auth.R,api/R/audit.r,sources,Datei existiert in anderem Ordner: R\audit.R
api/plumber_auth.R,api/R/audit.r,sources,Datei existiert in anderem Ordner: R\audit.R
examples/optimization_example.R,examples/R/backend_bayes.R,sources,Datei existiert in anderem Ordner: R\backend_bayes.R
examples/optimization_example.R,examples/R/warmstart_manager.R,sources,Datei existiert in anderem Ordner: R\warmstart_manager.R
examples/optimization_example.R,examples/R/optimization_utils.R,sources,Datei existiert in anderem Ordner: R\optimization_utils.R
examples/parallel_usage_example.R,examples/R/parallel_utils.R,sources,Datei existiert in anderem Ordner: R\parallel_utils.R
examples/parallel_usage_example.R,examples/R/async_fits.R,sources,Datei existiert in anderem Ordner: R\async_fits.R
examples/parallel_usage_example.R,examples/R/job_queue.R,sources,Datei existiert in anderem Ordner: R\job_queue.R
examples/parallel_usage_example.R,examples/R/pta_cfr.R,sources,Datei existiert in anderem Ordner: R\pta_cfr.R
examples/parallel_usage_example.R,examples/R/backend_bayes.R,sources,Datei existiert in anderem Ordner: R\backend_bayes.R
examples/parallel_usage_example.R,examples/config/optimization_config.yaml,loads_config,Datei existiert in anderem Ordner: config\optimization_config.yaml
R/async_fits.R,R/R/parallel_utils.R,sources,Datei existiert in anderem Ordner: R\parallel_utils.R
R/auth_safe_upgrade.R,R/R/safe_io.R,sources,Datei existiert in anderem Ordner: R\safe_io.R
R/auth_safe_upgrade.R,R/R/audit.R,sources,Datei existiert in anderem Ordner: R\audit.R
R/backend_bayes.R,R/R/parallel_utils.R,sources,Datei existiert in anderem Ordner: R\parallel_utils.R
R/backend_bayes.R,R/R/async_fits.R,sources,Datei existiert in anderem Ordner: R\async_fits.R
R/backend_bayes.R,R/R/job_queue.R,sources,Datei existiert in anderem Ordner: R\job_queue.R
R/backend_bayes.R,R/config/optimization_config.yaml,loads_config,Datei existiert in anderem Ordner: config\optimization_config.yaml
R/fhir.R,R/R/fhir_connection.R,sources,Datei existiert in anderem Ordner: R\fhir_connection.R
R/fhir.R,R/R/fhir_auth.R,sources,Datei existiert in anderem Ordner: R\fhir_auth.R
R/fhir.R,R/R/fhir_cache.R,sources,Datei existiert in anderem Ordner: R\fhir_cache.R
R/job_queue.R,R/R/backend_bayes.R,sources,Datei existiert in anderem Ordner: R\backend_bayes.R
R/job_queue.R,R/R/pta_cfr.R,sources,Datei existiert in anderem Ordner: R\pta_cfr.R
R/optimize_regimen.R,R/config/tissue.json,reads_data,Datei existiert in anderem Ordner: config\tissue.json
R/optimize_regimen.R,R/config/risk_models.json,reads_data,Datei existiert in anderem Ordner: config\risk_models.json
R/pta_cfr.R,R/R/parallel_utils.R,sources,Datei existiert in anderem Ordner: R\parallel_utils.R
R/pta_cfr.R,R/config/tissue.json,reads_data,Datei existiert in anderem Ordner: config\tissue.json
R/run_fit_jags.R,R/R/safe_computation.R,sources,Datei existiert in anderem Ordner: R\safe_computation.R
scripts/security_migration.R,scripts/R/auth.R,sources,Datei existiert in anderem Ordner: R\auth.R
scripts/security_migration.R,scripts/R/audit.R,sources,Datei existiert in anderem Ordner: R\audit.R
tests/testthat.R,tests/tests/testthat/helper-functions.R,sources,Datei existiert in anderem Ordner: tests\testthat\helper-functions.R
tests/testthat.R,tests/tests/testthat/fixtures/test-data.R,sources,nicht gefunden
.github/workflows/ci.yml,".github/workflows/Rscript tests/performance/benchmark.R
",references,nicht gefunden
.github/workflows/ci.yml,.github/workflows/benchmark-results.json,references,nicht gefunden
tests/performance/benchmark.R,tests/performance/R/utils.R,sources,Datei existiert in anderem Ordner: R\utils.R
tests/performance/benchmark.R,tests/performance/R/pk_calculations.R,sources,nicht gefunden
tests/performance/benchmark.R,tests/performance/R/plotting_functions.R,sources,nicht gefunden
tests/testthat/helper-common.R,tests/testthat/R/utils.R,sources,Datei existiert in anderem Ordner: R\utils.R
tests/testthat/test-cache-manager.R,tests/testthat/R/cache_manager.R,sources,Datei existiert in anderem Ordner: R\cache_manager.R
tests/testthat/test-cache-manager.R,tests/testthat/R/backend_bayes.R,sources,Datei existiert in anderem Ordner: R\backend_bayes.R
tests/testthat/test-db-error-handling.R,tests/testthat/R/utils.R,sources,Datei existiert in anderem Ordner: R\utils.R
tests/testthat/test-db-error-handling.R,tests/testthat/R/db.R,sources,Datei existiert in anderem Ordner: R\db.R
tests/testthat/test-db-error-handling.R,tests/testthat/R/antibiogram.R,sources,Datei existiert in anderem Ordner: R\antibiogram.r
tests/testthat/test-db-error-handling.R,tests/testthat/R/audit.R,sources,Datei existiert in anderem Ordner: R\audit.R
tests/testthat/test-db-error-handling.R,tests/testthat/nonexistent.csv,reads_data,nicht gefunden
tests/testthat/test-error-handling-integration.R,tests/testthat/non_existent_file.txt,reads_data,nicht gefunden
tests/testthat/test-error-handling-integration.R,tests/testthat/missing.yaml,loads_config,nicht gefunden
tests/testthat/test-safe-io.R,tests/testthat/R/safe_io.R,sources,Datei existiert in anderem Ordner: R\safe_io.R
tests/testthat/test-safe-io.R,tests/testthat/R/auth_safe_upgrade.R,sources,Datei existiert in anderem Ordner: R\auth_safe_upgrade.R
tests/testthat/test-utils.R,tests/testthat/R/utils.R,sources,Datei existiert in anderem Ordner: R\utils.R
tests/testthat/test-vectorized-functions.R,tests/testthat/R/pk_models.R,sources,Datei existiert in anderem Ordner: R\pk_models.R
tests/testthat/test-vectorized-functions.R,tests/testthat/R/error_models.R,sources,Datei existiert in anderem Ordner: R\error_models.R
tests/testthat/test-vectorized-functions.R,tests/testthat/R/crrt.R,sources,Datei existiert in anderem Ordner: R\crrt.R
tests/testthat/test-vectorized-functions.R,tests/testthat/R/prior_db.R,sources,Datei existiert in anderem Ordner: R\prior_db.R
